"Gene","Median_R","P_value","FDR"
"ENSG00000236892",-0.311258013406572,3.60455331299341e-05,0.000912165415686127
"ENSG00000163536",-0.311337966161525,3.58707094958313e-05,0.000908488454819524
"ENSG00000158806",-0.311394566650263,3.57474303039873e-05,0.000905738925742525
"ENSG00000099624",-0.31158588404748,3.53336746944364e-05,0.000896362603212859
"ENSG00000149930",-0.312183877730843,3.40692833286676e-05,0.000868583253181242
"ENSG00000233930",-0.312326623884769,3.37738231243184e-05,0.000862122011764019
"ENSG00000178498",-0.312463787034574,3.34921923958219e-05,0.000855998126581587
"ENSG00000157782",-0.312465247848764,3.34892049057977e-05,0.000855998126581587
"ENSG00000275427",-0.312568131318835,3.32794292282043e-05,0.000851975537612566
"ENSG00000179240",-0.312585526054656,3.32440844702017e-05,0.000851424858357925
"ENSG00000110931",-0.312596389000212,3.32220297326317e-05,0.000851214237246081
"ENSG00000184788",-0.312662373850334,3.30883581737821e-05,0.000848142405434088
"ENSG00000229191",-0.312729947978595,3.29519919273886e-05,0.0008453511426341
"ENSG00000146216",-0.312787830059117,3.28356053317103e-05,0.000842716636586646
"ENSG00000103415",-0.312833468295282,3.27441110668758e-05,0.000840719053608597
"ENSG00000215041",-0.312833690556734,3.27436660711601e-05,0.000840719053608597
"ENSG00000178752",-0.312835860639702,3.27393215880239e-05,0.000840719053608597
"ENSG00000120088",-0.312922184980317,3.25669406665517e-05,0.000837917975076195
"ENSG00000244694",-0.313090242029992,3.22337960848113e-05,0.000830735655880917
"ENSG00000124140",-0.313121453737085,3.21722785344669e-05,0.000829845226372686
"ENSG00000198794",-0.313271175251797,3.18787147374968e-05,0.000823308275201217
"ENSG00000104853",-0.313528586074902,3.13798885258699e-05,0.000811446999763083
"ENSG00000105649",-0.313534524502038,3.13684678908167e-05,0.000811446999763083
"ENSG00000105642",-0.313628878765007,3.11875324358826e-05,0.000807490743051729
"ENSG00000105516",-0.31392495086193,3.06261384772427e-05,0.000795969200356177
"ENSG00000204352",-0.313974787596536,3.05325819928333e-05,0.000794208464144941
"ENSG00000224051",-0.314252577773972,3.00160097961386e-05,0.000781432024912672
"ENSG00000225383",-0.31443001386906,2.96903738147941e-05,0.000774264561888851
"ENSG00000184611",-0.314619585364832,2.9346144711875e-05,0.000766587067125482
"ENSG00000214309",-0.314666141685863,2.92621833258119e-05,0.000765043250044082
"ENSG00000180044",-0.315225771039512,2.82704749190537e-05,0.000743220037769431
"ENSG00000099817",-0.315276690540431,2.81818306165228e-05,0.000741206232249265
"ENSG00000183117",-0.315299777423034,2.81417256635975e-05,0.000740467876973257
"ENSG00000109738",-0.315343880458284,2.80652623139378e-05,0.000738771815162098
"ENSG00000185090",-0.315436857147026,2.79047054161101e-05,0.000734859730478852
"ENSG00000224819",-0.31553824918837,2.77306030834104e-05,0.000730900315274266
"ENSG00000173227",-0.315554514235093,2.77027694835413e-05,0.000730479539458039
"ENSG00000250377",-0.315563444912725,2.7687498036714e-05,0.000730389789614885
"ENSG00000271913",-0.315669471280374,2.75067981367421e-05,0.000726843226180334
"ENSG00000286610",-0.31569095244386,2.74703235911704e-05,0.000726689399761738
"ENSG00000131089",-0.315722641679086,2.74165991579247e-05,0.00072573211981734
"ENSG00000287340",-0.315858482319934,2.71874211737889e-05,0.000721127911638321
"ENSG00000187730",-0.316186001368404,2.66422618133842e-05,0.000708281365461302
"ENSG00000067715",-0.316450205658383,2.62100149277657e-05,0.000697392632388419
"ENSG00000130520",-0.316785142922367,2.56715437025534e-05,0.000684218646173477
"ENSG00000279099",-0.316790184851515,2.56635181413054e-05,0.000684218646173477
"ENSG00000167770",-0.316795653137385,2.56548165941161e-05,0.000684218646173477
"ENSG00000130559",-0.316967329261943,2.53830425519595e-05,0.000678026897056334
"ENSG00000143434",-0.316995850543588,2.53381553053823e-05,0.000677415912299934
"ENSG00000008710",-0.317019221833572,2.53014289860087e-05,0.000676728007611872
"ENSG00000213107",-0.317042638182313,2.52646821881443e-05,0.000676333014609462
"ENSG00000032389",-0.31709943626461,2.51757590122158e-05,0.000674539361187554
"ENSG00000241678",-0.317134219869281,2.51214474925527e-05,0.000673670747050832
"ENSG00000224825",-0.317145240927717,2.51042621396962e-05,0.000673670747050832
"ENSG00000072657",-0.317171161330988,2.506388761826e-05,0.000673300698200871
"ENSG00000204564",-0.317294232443679,2.48730216527148e-05,0.000669077128366413
"ENSG00000243319",-0.317530542586608,2.45103729784126e-05,0.000661660537882947
"ENSG00000197530",-0.317625964479703,2.43653533093277e-05,0.000659428893610055
"ENSG00000118402",-0.317830505665385,2.40572180237107e-05,0.000651375902354268
"ENSG00000133424",-0.317893049025895,2.39637342128945e-05,0.000649130307393653
"ENSG00000203872",-0.317980525532118,2.3833557146258e-05,0.000646172881501895
"ENSG00000171873",-0.318319966347426,2.33347090843969e-05,0.00063404473990734
"ENSG00000170091",-0.3183929079957,2.32288058044362e-05,0.000631445947185609
"ENSG00000186862",-0.318393868102471,2.32274148616138e-05,0.000631445947185609
"ENSG00000183248",-0.318404801862812,2.32115802507028e-05,0.000631445947185609
"ENSG00000050748",-0.318424867237261,2.3182547432156e-05,0.000631303849187879
"ENSG00000203987",-0.318439751536708,2.31610332965513e-05,0.000630997181586079
"ENSG00000077080",-0.31855795015475,2.29908532870255e-05,0.000627193738783997
"ENSG00000171130",-0.318623109128535,2.28975436145855e-05,0.000624925243554789
"ENSG00000139970",-0.318805126340078,2.26387779911325e-05,0.000618686035828712
"ENSG00000289417",-0.318810436521779,2.26312703121538e-05,0.000618686035828712
"ENSG00000187391",-0.318956096583583,2.24262454409694e-05,0.000614241588526489
"ENSG00000198963",-0.319034715328573,2.23163142724825e-05,0.000611502780759421
"ENSG00000146267",-0.319162752580006,2.21383693117217e-05,0.000607167469215955
"ENSG00000279319",-0.319215854309886,2.20649623777323e-05,0.0006054240056064
"ENSG00000279189",-0.319227324801071,2.2049135946388e-05,0.000605259599770071
"ENSG00000241563",-0.319471309691071,2.17150227641419e-05,0.000597153423144035
"ENSG00000236107",-0.31951092253651,2.16612296168403e-05,0.000595940418211364
"ENSG00000196090",-0.319593725542233,2.15491911709121e-05,0.000593388555446361
"ENSG00000105409",-0.319633663231195,2.14953482262353e-05,0.000592170864474228
"ENSG00000280000",-0.319702015962355,2.14034912323021e-05,0.000590168666846236
"ENSG00000114923",-0.319775243985519,2.13054934255376e-05,0.000588257194877204
"ENSG00000272121",-0.320027133421923,2.09716234890439e-05,0.000580473799143971
"ENSG00000144712",-0.320046660940399,2.09459477367648e-05,0.00058015184856501
"ENSG00000019485",-0.32005001107615,2.09415457933127e-05,0.00058015184856501
"ENSG00000165061",-0.320125578665916,2.08424846028057e-05,0.00057780624882661
"ENSG00000171502",-0.32023977840898,2.06936192571646e-05,0.000574218523967128
"ENSG00000055118",-0.320246139036311,2.06853574110413e-05,0.000574218523967128
"ENSG00000106976",-0.32063360341312,2.01879064611344e-05,0.000562956282394226
