"Gene","Median_R","P_value","FDR"
"ENSG00000151116",0.295473557006934,9.16165059178837e-05,0.00196119869224704
"ENSG00000168528",0.295298502172282,9.25416557958696e-05,0.00197893803485094
"ENSG00000100578",0.295260844113739,9.27418149064667e-05,0.00198184106132069
"ENSG00000287090",0.295183789562652,9.31526366257235e-05,0.00198992914560692
"ENSG00000080200",0.295168743620745,9.32330536117562e-05,0.00199095595124286
"ENSG00000289298",0.295161056929798,9.32741622205619e-05,0.00199114292046558
"ENSG00000137831",0.295137080965275,9.34024952629398e-05,0.00199250023170273
"ENSG00000278588",0.295088275176043,9.36642424296169e-05,0.0019953174579745
"ENSG00000285774",0.294965146948823,9.43276371681611e-05,0.00200597792048283
"ENSG00000130150",0.29481800510193,9.51261801735114e-05,0.00202016757508578
"ENSG00000129083",0.294804725662796,9.51985584376122e-05,0.00202100727164002
"ENSG00000168172",0.294776501139247,9.53525646005791e-05,0.00202357870199243
"ENSG00000169189",0.294749069220761,9.55024693263366e-05,0.00202606134857637
"ENSG00000059378",0.294734375424035,9.55828558605726e-05,0.00202706798107618
"ENSG00000132405",0.294539853502263,9.66530273599128e-05,0.00204694215961407
"ENSG00000276410",0.294341360689225,9.77565944350494e-05,0.00206888990643421
"ENSG00000140105",0.294308066810414,9.79428500936978e-05,0.00207211920459489
"ENSG00000225101",0.294223459388916,9.84176637044891e-05,0.00208144903609247
"ENSG00000203875",0.29417188634041,9.87081452249936e-05,0.002086158684659
"ENSG00000198315",0.294079867256586,9.92284294951064e-05,0.00209643476307821
"ENSG00000102871",0.294027727759359,9.95243685289846e-05,0.00210116259426633
"ENSG00000122884",0.294022404440293,9.9554629612645e-05,0.00210116259426633
"ENSG00000176170",0.294014513985462,9.95994997414534e-05,0.00210138896540556
"ENSG00000099331",0.293880336653985,0.000100365419380714,0.00211532280364899
"ENSG00000289470",0.293874754080639,0.00010039740526223,0.00211532280364899
"ENSG00000113369",0.293767024087958,0.000101016525116199,0.00212691105773224
"ENSG00000182552",0.293756756690834,0.000101075717464256,0.00212742953338583
"ENSG00000197563",0.293735768154661,0.000101196818983895,0.00212925026582729
"ENSG00000010292",0.293715452257083,0.00010131416871262,0.00212981051979155
"ENSG00000138398",0.293713186344968,0.000101327265077825,0.00212981051979155
"ENSG00000140006",0.293605490300046,0.000101951548788079,0.002140739037398
"ENSG00000185947",0.293578110291762,0.000102110835615812,0.00214335241034773
"ENSG00000141298",0.293394972693617,0.000103182263355077,0.00216362835295567
"ENSG00000066322",0.293375027266071,0.000103299584854716,0.00216461343217522
"ENSG00000169223",0.293363213740331,0.000103369132312883,0.0021653335190824
"ENSG00000172469",0.293285639583778,0.000103826908566534,0.00217349680416585
"ENSG00000135452",0.293285207244574,0.000103829465167158,0.00217349680416585
"ENSG00000110880",0.29322582953565,0.000104181150006361,0.00217881385470814
"ENSG00000198774",0.293152597715241,0.000104616424889592,0.00218625237806624
"ENSG00000165997",0.293127148688835,0.000104768086475275,0.00218867858589081
"ENSG00000157554",0.293095070976913,0.000104959544155262,0.00219193423328519
"ENSG00000159592",0.292847439059054,0.0001064486001746,0.0022186174132522
"ENSG00000073921",0.292827401281866,0.000106569950903224,0.00221954012128191
"ENSG00000182704",0.292814196191842,0.000106649992916695,0.00222045573885829
"ENSG00000115648",0.292779494853946,0.000106860601449431,0.00222408821630158
"ENSG00000122176",0.292718141669232,0.000107233916685839,0.00223034949932858
"ENSG00000213793",0.292710549113087,0.000107280199753553,0.00223055831541644
"ENSG00000167977",0.292646709862625,0.000107670093584004,0.00223697371015375
"ENSG00000184678",0.292642610261133,0.000107695176838659,0.00223697371015375
"ENSG00000136451",0.292610486959786,0.000107891911257321,0.0022387389704722
"ENSG00000138674",0.292596977364021,0.00010797474911985,0.0022397027164921
"ENSG00000289233",0.292484598724735,0.000108666138667362,0.00225025196438229
"ENSG00000175061",0.292474215511385,0.000108730227998121,0.00225082177999205
"ENSG00000175287",0.292354808970026,0.000109469797348474,0.00226384718011239
"ENSG00000130940",0.292323219590166,0.000109666238007106,0.00226692263839765
"ENSG00000138794",0.292319051607388,0.000109692181482325,0.00226692263839765
"ENSG00000187720",0.292298661073834,0.000109819184427516,0.00226878546035819
"ENSG00000106714",0.292243749843485,0.000110161884339421,0.00227510168113602
"ENSG00000165512",0.292083159255023,0.000111169873530019,0.00229361002230355
"ENSG00000106588",0.292021433318567,0.000111559601596798,0.00229825532753441
"ENSG00000114933",0.291945509549818,0.000112040724298239,0.0023069368806326
"ENSG00000184384",0.291924523745983,0.000112174051379594,0.00230890963816244
"ENSG00000140750",0.291895338141998,0.000112359720034662,0.00231195807750359
"ENSG00000286067",0.291868221980349,0.000112532481025599,0.00231473897467896
"ENSG00000130958",0.29183652353231,0.000112734751214021,0.0023180180748542
"ENSG00000168658",0.291831439355845,0.000112767225336564,0.0023180180748542
"ENSG00000116830",0.291820381469574,0.000112837885485048,0.00231869610159993
"ENSG00000140264",0.291788434210371,0.000113042261792573,0.00232212048056146
"ENSG00000172123",0.291778630591437,0.000113105047867356,0.00232263499030649
"ENSG00000204397",0.291711128303872,0.00011353824372168,0.00233075305924185
"ENSG00000288775",0.291694431711237,0.000113645633071648,0.00233140228058717
"ENSG00000137812",0.291583263768679,0.00011436306850522,0.00234533844987846
"ENSG00000071073",0.291437462092448,0.000115310434825457,0.00236397914753429
"ENSG00000168209",0.291294255175954,0.000116248077399541,0.00238161507173015
"ENSG00000178343",0.291264853299204,0.000116441464788694,0.0023842178200138
"ENSG00000122566",0.291218934828034,0.000116744089689398,0.00238780267724968
"ENSG00000186432",0.291087944408303,0.000117611423895827,0.0024031465711304
"ENSG00000147509",0.291075279441438,0.000117695601639275,0.00240406840600317
"ENSG00000125107",0.290924081108245,0.00011870489974418,0.00242262367125509
"ENSG00000187068",0.290867291578156,0.000119086073366883,0.00242924537596668
"ENSG00000072210",0.29074996642816,0.000119877189638866,0.00244340263838646
"ENSG00000257335",0.29069280591337,0.000120264396039613,0.00245003376029857
"ENSG00000096996",0.290635486876505,0.000120653849503646,0.00245715437255208
"ENSG00000091527",0.290541999119879,0.000121291580151649,0.00246872951792146
"ENSG00000274441",0.290540409456295,0.000121302451290044,0.00246872951792146
"ENSG00000151135",0.290469559647663,0.000121787893184975,0.00247778978452102
"ENSG00000182919",0.290416024908181,0.000122155900588166,0.00248445563311239
"ENSG00000163909",0.290389953578192,0.000122335495523986,0.00248646490638316
"ENSG00000282851",0.290366387133154,0.000122498047556628,0.00248828343125968
"ENSG00000005700",0.290365259595533,0.000122505829921955,0.00248828343125968
"ENSG00000141543",0.290299682258575,0.000122959246043599,0.0024950226965075
"ENSG00000073350",0.290248201932306,0.000123316290313226,0.00249979504974873
"ENSG00000073792",0.29006488742588,0.000124595557277711,0.00252240426878271
"ENSG00000123485",0.290044258043673,0.000124740293663311,0.00252450398987663
"ENSG00000109618",0.290013653456242,0.00012495530576463,0.00252743559149245
"ENSG00000005812",0.289962887894557,0.000125312722087573,0.00253324839192043
"ENSG00000143412",0.289925376324687,0.000125577436611251,0.00253727437912108
"ENSG00000108518",0.289799260636093,0.000126471254633396,0.00255365711783389
"ENSG00000166266",0.289686101341611,0.000127278301586963,0.0025682674730715
"ENSG00000168916",0.289616988530223,0.000127773574437677,0.00257572776455696
"ENSG00000133131",0.289552537810346,0.000128237059493448,0.00258337858902284
"ENSG00000135272",0.289545378913676,0.000128288638114654,0.00258357197124615
"ENSG00000026297",0.289439985619308,0.000129050224559707,0.00259805921501557
"ENSG00000167081",0.289419858942573,0.000129196142018681,0.00260014629313202
"ENSG00000167785",0.28939412834148,0.000129382912085093,0.00260220324881209
"ENSG00000243811",0.289387671863562,0.000129429817117887,0.00260229619885765
"ENSG00000156384",0.289282155992497,0.000130198623052136,0.00261355129982939
"ENSG00000181458",0.289242421186854,0.000130489241142204,0.00261761077472483
"ENSG00000177873",0.28914816728784,0.000131181033336239,0.00262891745869278
"ENSG00000198848",0.289105904320462,0.000131492340256803,0.0026342983687385
"ENSG00000138376",0.289078647905019,0.000131693475441119,0.00263661133784912
"ENSG00000178209",0.288953864620554,0.000132617971331093,0.0026516700544512
"ENSG00000263155",0.288849575737927,0.000133395273266544,0.00266375038868143
"ENSG00000072501",0.288816055643411,0.000133646012398873,0.0026678917246436
"ENSG00000106263",0.288794989417464,0.00013380381843214,0.00267017581115033
"ENSG00000198909",0.288735776138161,0.000134248314412317,0.00267730987109255
"ENSG00000253764",0.28866930964742,0.000134748900224279,0.0026856630477965
"ENSG00000129467",0.288656860524917,0.000134842853123484,0.0026856630477965
"ENSG00000137573",0.288650190912048,0.000134893213513158,0.0026856630477965
"ENSG00000164930",0.288588803835552,0.000135357555560662,0.00269245164816592
"ENSG00000087088",0.288475281600585,0.000136220190643345,0.002708735189969
"ENSG00000149289",0.28844617293296,0.000136442207464138,0.00271227364863466
"ENSG00000120519",0.288417505057292,0.000136661192435148,0.0027141080063176
"ENSG00000221887",0.288397127660651,0.000136817048476946,0.00271621562305327
"ENSG00000152818",0.288345530218808,0.000137212432663627,0.00272231154110705
"ENSG00000080839",0.288345512336627,0.000137212569877065,0.00272231154110705
"ENSG00000117533",0.288306035469749,0.000137515796006941,0.00272744832402552
"ENSG00000108510",0.288217833260649,0.000138195548488875,0.00273828294790705
"ENSG00000133687",0.288024755311328,0.000139694515380963,0.00276442419762251
"ENSG00000205213",0.287933336933668,0.000140409526532307,0.0027772466444965
"ENSG00000143878",0.287859081623927,0.000140992812718416,0.00278498369655884
"ENSG00000244625",0.287851790040503,0.000141050210941341,0.00278498369655884
"ENSG00000136783",0.287814197450004,0.000141346480269174,0.00278993835204812
"ENSG00000253858",0.287772589732416,0.000141675070186049,0.00279463157677249
"ENSG00000173207",0.2877093677935,0.000142175719731617,0.00280181315887372
"ENSG00000182175",0.287703476417776,0.000142222457078626,0.00280183703535435
"ENSG00000133812",0.287681656739376,0.000142395681457436,0.0028032753468164
"ENSG00000008517",0.287671338834739,0.000142477662889017,0.0028032753468164
"ENSG00000172939",0.287570827413775,0.000143278589402654,0.00281723243009487
"ENSG00000106991",0.287518300237582,0.00014369882270415,0.00282369104230657
"ENSG00000140092",0.287497647905039,0.000143864362426619,0.00282604159629233
"ENSG00000144426",0.287467725214069,0.000144104524886687,0.00282985605603901
"ENSG00000135365",0.287417893845283,0.000144505306896396,0.00283591664784176
"ENSG00000142166",0.287389051282022,0.000144737755900929,0.00283957298347682
"ENSG00000123096",0.287311402159179,0.00014536528384145,0.00285006722801473
"ENSG00000173890",0.287299789914447,0.000145459347120228,0.00285100320355648
"ENSG00000137497",0.287224078872358,0.000146074027053866,0.00285940837182034
"ENSG00000178150",0.28721806733086,0.000146122937053103,0.00285945629189068
"ENSG00000100985",0.287193361531587,0.000146324104336295,0.00286248273276318
"ENSG00000165527",0.287166883644067,0.000146539987751175,0.00286579504485487
