"Gene","Median_R","P_value","FDR"
"ENSG00000255096.2",-0.110278409979024,0.152253629461118,0.562983499853104
"ENSG00000227698.1",-0.11029043076046,0.152208675003606,0.562851090213418
"ENSG00000213754.2",-0.110310250347677,0.152134576997558,0.562746147778442
"ENSG00000255209.1",-0.110312955059075,0.152124467206422,0.562742574367497
"ENSG00000237952.1",-0.11031648814403,0.152111261847094,0.562727548636545
"ENSG00000289058.1",-0.110318779657836,0.15210269748198,0.562727548636545
"ENSG00000267549.6",-0.110321255295407,0.152093445376609,0.562727548636545
"ENSG00000104679.12",-0.110321326555537,0.152093179065142,0.562727548636545
"ENSG00000198890.9",-0.110323625659338,0.152084587104297,0.562727548636545
"ENSG00000260447.1",-0.110329895532979,0.152061157875081,0.562711316232577
"ENSG00000233063.2",-0.110342306413732,0.15201478899507,0.56258962081006
"ENSG00000231822.1",-0.110351903861881,0.151978938829789,0.562542359496032
"ENSG00000263382.2",-0.110354942401673,0.151967590043093,0.562534185108392
"ENSG00000229591.1",-0.110394930638694,0.151818295653803,0.562049157105248
"ENSG00000259168.1",-0.110402771552619,0.151789034917653,0.562042257684378
"ENSG00000279337.1",-0.110407122155328,0.151772801166977,0.562015961192566
"ENSG00000230053.2",-0.110426397366392,0.151700893797806,0.561851104765733
"ENSG00000130414.13",-0.110433772623627,0.151673386746302,0.561783035262063
"ENSG00000253439.1",-0.110453518615227,0.151599759845757,0.561577923434892
"ENSG00000235592.1",-0.110461271796769,0.151570857926277,0.561504657811039
"ENSG00000256196.2",-0.110462157174493,0.151567557724426,0.561504657811039
"ENSG00000231654.1",-0.110465300128096,0.151555842957713,0.561504657811039
"ENSG00000287507.1",-0.110467677021243,0.151546983990747,0.561504657811039
"ENSG00000289146.1",-0.11047439396429,0.151521951248324,0.561492471557494
"ENSG00000283122.1",-0.110478881897401,0.151505227332652,0.561464304869075
"ENSG00000263427.1",-0.110480603832173,0.15149881105345,0.561464304869075
"ENSG00000232228.1",-0.110498294135618,0.151432905262664,0.561263879643805
"ENSG00000248636.7",-0.110510245524086,0.151388392235246,0.561132691624064
"ENSG00000140691.18",-0.110516028094519,0.151366858558716,0.561128913304374
"ENSG00000289642.1",-0.110522299029361,0.151343508878856,0.561101500628934
"ENSG00000261996.1",-0.110564923466306,0.151184869835823,0.560614667058858
"ENSG00000287113.1",-0.110570899034282,0.151162640087933,0.560566011181716
"ENSG00000217227.1",-0.110576480669895,0.151141878039795,0.560556571175192
"ENSG00000255311.5",-0.110588510647955,0.151097137370108,0.560424409227139
"ENSG00000214097.5",-0.110607551353907,0.151026343558024,0.560195593535138
"ENSG00000243304.3",-0.110633262565195,0.150930788396327,0.559942398038675
"ENSG00000243980.3",-0.110637180611477,0.150916231072044,0.559922144025674
"ENSG00000205923.3",-0.110658470562281,0.150837147755777,0.559729962103199
"ENSG00000240183.3",-0.110661347893026,0.150826462069753,0.559724058226054
"ENSG00000249921.2",-0.11067640421216,0.150770555993852,0.559584072975853
"ENSG00000280012.2",-0.110695129986044,0.150701046595764,0.559359822187426
"ENSG00000254957.1",-0.11069602283705,0.150697732969725,0.559359822187426
"ENSG00000261659.2",-0.110696429453952,0.150696223916076,0.559359822187426
"ENSG00000231527.7",-0.110736061980748,0.150549192798469,0.558931020183928
"ENSG00000162365.13",-0.110745148464735,0.1505154984946,0.558873353807037
"ENSG00000231340.1",-0.110759865230092,0.150460938190071,0.558757507093719
"ENSG00000123607.16",-0.110762311050904,0.150451872107193,0.558757507093719
"ENSG00000232420.2",-0.110762641740548,0.150450646350085,0.558757507093719
"ENSG00000171772.17",-0.110763137052777,0.15044881040563,0.558757507093719
"ENSG00000259494.2",-0.110773424732133,0.150410681501897,0.558720122063781
"ENSG00000213133.4",-0.110779760192391,0.150387204217019,0.558666632240732
"ENSG00000248599.2",-0.110787877863733,0.150357126648052,0.558588615382575
"ENSG00000174233.12",-0.110801367670267,0.150307154315012,0.558436674021316
"ENSG00000231666.7",-0.11080279207409,0.150301878412907,0.558436674021316
"ENSG00000232027.2",-0.1108064694389,0.150288258332116,0.558433893062353
"ENSG00000217334.1",-0.110811325098009,0.150270275559567,0.558400787286439
"ENSG00000258836.2",-0.110814324211105,0.150259169255989,0.558393231851373
