"Gene","R","P","FDR"
"ENSG00000100234.12",0.366188447311333,9.7672942456048e-07,0.000154639260078979
"ENSG00000100292.18",0.376130361340645,4.66226775846707e-07,9.86963232236158e-05
"ENSG00000100307.13",0.305327551507432,5.42267817343371e-05,0.00211282308099933
"ENSG00000100365.16",0.314364045976529,3.14886510998912e-05,0.00144387401424285
"ENSG00000100599.16",0.33046089528049,1.14385333891567e-05,0.000726935226113972
"ENSG00000100906.11",0.366476456901239,9.56357378855176e-07,0.000153761686677582
"ENSG00000100979.15",0.408338699546718,3.564895767142e-08,1.84814381985119e-05
"ENSG00000101096.20",0.36412057276461,1.13563507679238e-06,0.000162986089580546
"ENSG00000101160.15",0.386552857175523,2.09041121046026e-07,5.96659730104741e-05
"ENSG00000101194.18",0.330643066442218,1.13044428294211e-05,0.000721524525617546
"ENSG00000101336.18",0.330778876937872,1.12054458961051e-05,0.000717007410828103
"ENSG00000103196.12",0.342133697176122,5.29139703929434e-06,0.000443621646829024
"ENSG00000103351.13",0.358147809664182,1.74491091232717e-06,0.000227704411822379
"ENSG00000103888.17",0.329941191975117,1.18293879866639e-05,0.000745662389640751
"ENSG00000104218.16",0.358501625131615,1.70148536908492e-06,0.000225118920994084
"ENSG00000104313.20",0.346833065337365,3.84518237842015e-06,0.000361774696144471
"ENSG00000104415.14",0.365229327079255,1.04759832502026e-06,0.000157468285505857
"ENSG00000105339.11",0.360287600583906,1.4975428010685e-06,0.000202351488167782
"ENSG00000105479.16",0.413107727900368,2.37915731441579e-08,1.40552868042103e-05
"ENSG00000105519.18",0.389047105649919,1.71813575416292e-07,5.1959288765477e-05
"ENSG00000105609.17",0.364845269355929,1.07732917970506e-06,0.000160759780151031
"ENSG00000105639.20",0.357380261359514,1.84277227332596e-06,0.000232895244076116
"ENSG00000105641.4",0.301749554403319,6.69229164815142e-05,0.00245250202012957
"ENSG00000105835.13",0.345903898609202,4.09741429361658e-06,0.00037312355520777
"ENSG00000105875.15",0.345364578207202,4.2509440432169e-06,0.000376673651768491
"ENSG00000105948.13",0.336470141217335,7.72163123347514e-06,0.000566651277813865
"ENSG00000106565.18",0.304943102188061,5.54737246945096e-05,0.0021416398608125
"ENSG00000106624.11",0.302233948348823,6.50542418553196e-05,0.00240899840503015
"ENSG00000106809.11",0.318427234445552,2.45186652828464e-05,0.00121176586416371
"ENSG00000106823.13",0.371005783044703,6.84679242933041e-07,0.000123799726334836
"ENSG00000107317.13",0.336177399975813,7.87237668200564e-06,0.000567552892199265
"ENSG00000107738.20",0.347781365534575,3.60300497827696e-06,0.000349280241973716
"ENSG00000108576.10",0.311781783466376,3.68463063970599e-05,0.00162219535772013
"ENSG00000108691.10",0.355618893455306,2.08747601986906e-06,0.000247109085899024
"ENSG00000108799.13",0.329887081664886,1.18708011279879e-05,0.000746420695678901
"ENSG00000109625.19",0.30256544272898,6.38037436840856e-05,0.00237654912141763
"ENSG00000109861.17",0.367743782627688,8.71432944381817e-07,0.000142819426362137
"ENSG00000110077.15",0.361588723378689,1.36386545110217e-06,0.00018932390193633
"ENSG00000110079.19",0.369870130216738,7.44877368543383e-07,0.000128721903354473
"ENSG00000110921.14",0.316690330204592,2.72984118872714e-05,0.00131089141242411
"ENSG00000111199.12",0.323751228688578,1.7568299546433e-05,0.000963627424013528
"ENSG00000111321.11",0.332124802263636,1.02677036258727e-05,0.000672243492804238
"ENSG00000111341.10",0.370622144556327,7.04475572380307e-07,0.000123799726334836
"ENSG00000112837.17",0.325015737574132,1.62159992388649e-05,0.00091338143828134
"ENSG00000112936.20",0.339525892443442,6.30301844615466e-06,0.000498804471646131
"ENSG00000113916.18",0.333301758315725,9.50902526576126e-06,0.000633528882833467
"ENSG00000114473.14",0.304136789891234,5.81769026871742e-05,0.00222080516173032
"ENSG00000114737.16",0.330958494595978,1.10757755863677e-05,0.000710499816213379
"ENSG00000114841.18",0.37086957651639,6.91646101467351e-07,0.000123799726334836
"ENSG00000115295.21",0.42543898303042,8.11763740317096e-09,6.22508164414174e-06
"ENSG00000115423.19",0.316080587721721,2.83427740539308e-05,0.00134577848465795
"ENSG00000115594.12",0.342406829998745,5.1948494225888e-06,0.000438421129176157
"ENSG00000115896.16",0.426067598364274,7.67568778743578e-09,6.09329677700722e-06
"ENSG00000115956.10",0.373890455922341,5.5194512933917e-07,0.000111492124124738
"ENSG00000116147.17",0.335174776440989,8.41007434535221e-06,0.000582128388542186
"ENSG00000116701.15",0.327106765898872,1.41931772525892e-05,0.000844377709010592
"ENSG00000116774.12",0.336097769133662,7.91386196254556e-06,0.000567552892199265
"ENSG00000117228.11",0.395924160617365,9.92071502079195e-08,3.81842308595724e-05
"ENSG00000117318.9",0.345678268956916,4.16099299982594e-06,0.000374041444602568
"ENSG00000118515.12",0.373571453247745,5.65314732480233e-07,0.000111492124124738
"ENSG00000118785.15",0.309431374127332,4.24580529686756e-05,0.00177687301410752
"ENSG00000118855.21",0.332808500393294,9.82028784864582e-06,0.000649647844320702
"ENSG00000118985.16",0.459365974725723,3.3402872670236e-10,7.07110978701671e-07
"ENSG00000119147.10",0.322092235918308,1.95044189614042e-05,0.00104106317243273
"ENSG00000119535.18",0.335894377810103,8.02076480335143e-06,0.000567552892199265
"ENSG00000119655.11",0.338258780603645,6.85834012103544e-06,0.000527838593126133
"ENSG00000119681.12",0.314751398821948,3.07512843009761e-05,0.00142178250497407
"ENSG00000120262.10",0.303399170673263,6.07576072017699e-05,0.00229335140526978
"ENSG00000121039.10",0.315357067422028,2.96308370034619e-05,0.00139133484731783
"ENSG00000122176.12",0.336875442210019,7.51743268147543e-06,0.000560958167181343
"ENSG00000122861.16",0.34952575936822,3.19488070943053e-06,0.000325175735115485
"ENSG00000122862.5",0.421056606131578,1.19549461877934e-08,8.43587494468102e-06
"ENSG00000123338.13",0.306961931507014,4.92136809611763e-05,0.00197188507485294
"ENSG00000124491.16",0.355259670992161,2.1410425510995e-06,0.000250640110256132
"ENSG00000125089.18",0.381646521278037,3.06006001441437e-07,7.69650540061073e-05
"ENSG00000126561.18",0.310375941410791,4.0112591656193e-05,0.00171647394731544
