"Gene","R","P","FDR"
"ENSG00000096696.15",0.254225972958244,0.000851824945415139,0.0137389898973846
"ENSG00000099219.15",0.232470515204185,0.00235428053142259,0.0271844492453309
"ENSG00000099331.14",0.221666045634352,0.00377479886664646,0.037109603564017
"ENSG00000099860.9",0.29181124872454,0.000118350809067786,0.0036595278943695
"ENSG00000099937.11",0.309041057318574,4.34644008160337e-05,0.00180708048106335
"ENSG00000099958.15",0.268743676802115,0.000410934876291998,0.00859175198555195
"ENSG00000099985.4",0.277346314044348,0.000261603467174941,0.00627358403736275
"ENSG00000100055.21",0.313329631621799,3.3540198282837e-05,0.00151605277042511
"ENSG00000100100.13",0.2474586163099,0.00117993606568819,0.0172136510028847
"ENSG00000100218.12",0.212280075363134,0.00559168753710429,0.0484301529168293
"ENSG00000100225.18",0.228090263518335,0.00285825968623416,0.0308991828026188
"ENSG00000100234.12",0.366188447311333,9.7672942456048e-07,0.000154639260078979
"ENSG00000100276.10",0.222922814948414,0.00357701003213436,0.0357180761974486
"ENSG00000100285.10",0.238664266426031,0.00177869926730384,0.0226942729720339
"ENSG00000100292.18",0.376130361340645,4.66226775846707e-07,9.86963232236158e-05
"ENSG00000100307.13",0.305327551507432,5.42267817343371e-05,0.00211282308099933
"ENSG00000100342.21",0.284497732821063,0.000177690763433586,0.00484321723551866
"ENSG00000100344.11",0.283751043750271,0.000185103808402705,0.00499171130026956
"ENSG00000100346.18",0.221135290339049,0.00386124665535744,0.0376823852424299
"ENSG00000100365.16",0.314364045976529,3.14886510998912e-05,0.00144387401424285
"ENSG00000100368.15",0.295216661043605,9.7576563504815e-05,0.00320242044492632
"ENSG00000100429.18",0.21114412675221,0.00585775318799474,0.049917646506082
"ENSG00000100478.16",0.223819594186268,0.00344164028786642,0.0348318678217812
"ENSG00000100490.10",0.224618268806514,0.00332498874469638,0.034096912424956
"ENSG00000100503.26",0.211263589196407,0.00582924978103673,0.0497247925411941
"ENSG00000100599.16",0.33046089528049,1.14385333891567e-05,0.000726935226113972
"ENSG00000100722.20",0.213821960626258,0.00524783986753996,0.0464060987772369
"ENSG00000100767.17",0.263664815197657,0.000532798946974265,0.0100779535740784
"ENSG00000100836.11",0.214695507846181,0.00506154892616706,0.0450782498384929
"ENSG00000100906.11",0.366476456901239,9.56357378855176e-07,0.000153761686677582
"ENSG00000100979.15",0.408338699546718,3.564895767142e-08,1.84814381985119e-05
"ENSG00000101096.20",0.36412057276461,1.13563507679238e-06,0.000162986089580546
"ENSG00000101115.13",0.227608862929726,0.00291921966208394,0.031263525551678
"ENSG00000101160.15",0.386552857175523,2.09041121046026e-07,5.96659730104741e-05
"ENSG00000101187.16",0.230731165706646,0.00254386572406718,0.0287062554844986
"ENSG00000101194.18",0.330643066442218,1.13044428294211e-05,0.000721524525617546
"ENSG00000101265.16",0.216322246399347,0.00473035503654072,0.0431318050944882
"ENSG00000101335.10",0.220321822920877,0.00399720395136852,0.0384479257768324
"ENSG00000101336.18",0.330778876937872,1.12054458961051e-05,0.000717007410828103
"ENSG00000102466.16",0.266069164882428,0.000471458760802743,0.00938541733432071
"ENSG00000102678.7",0.299074404023128,7.81826197579466e-05,0.0027169262513148
"ENSG00000102904.15",0.294095175611816,0.000104008191144866,0.00334445579702915
"ENSG00000103024.8",0.216901642634875,0.00461717352598105,0.0424042151411774
"ENSG00000103196.12",0.342133697176122,5.29139703929434e-06,0.000443621646829024
"ENSG00000103222.20",0.271217220761903,0.00036144099618867,0.00779430019200406
"ENSG00000103319.12",0.277286553969785,0.000262438897874901,0.00627358403736275
"ENSG00000103335.22",0.232861351805085,0.00231348506036068,0.0267986598214055
"ENSG00000103351.13",0.358147809664182,1.74491091232717e-06,0.000227704411822379
"ENSG00000103365.15",0.255831141021893,0.00078745317260962,0.0130742960417008
"ENSG00000103888.17",0.329941191975117,1.18293879866639e-05,0.000745662389640751
"ENSG00000104213.13",0.215551656340932,0.00488473932797432,0.0439868958342898
"ENSG00000104218.16",0.358501625131615,1.70148536908492e-06,0.000225118920994084
"ENSG00000104313.20",0.346833065337365,3.84518237842015e-06,0.000361774696144471
"ENSG00000104415.14",0.365229327079255,1.04759832502026e-06,0.000157468285505857
"ENSG00000104419.17",0.225164854830185,0.0032472257846659,0.0334506393381459
"ENSG00000104450.13",0.260147483223079,0.000635893546646464,0.01131200740507
"ENSG00000104518.11",0.236095235860878,0.00199977195670529,0.0245648970097604
"ENSG00000104728.16",0.22892299964284,0.00275552349686746,0.0301717945650534
"ENSG00000104756.16",0.24635835074894,0.00124310087721064,0.0178712459444153
"ENSG00000104774.13",0.227542506568572,0.00292771397963876,0.0313016490844964
"ENSG00000104951.16",0.248167562140711,0.00114080788701546,0.0168194676458814
"ENSG00000104953.20",0.228482733131819,0.00280941586546864,0.0305511948760702
