ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048588	developmental cell growth	22/501	238/18577	5.4465747259927e-07	3.09115437727651e-05	2.72845667464311e-05	PTPRS/L1CAM/PLXNA1/SYT1/SEMA6C/UNC13A/CPNE9/EMX1/TRPC5/DCLK1/GSK3B/AUTS2/LIMK1/DCC/CYFIP2/RTN4R/OLFM1/CDK5/RNF157/TRIM46/SYT3/BCL11A	22
GO:0007612	learning	17/501	150/18577	6.38617183256751e-07	3.5659559490885e-05	3.14754784888684e-05	NETO1/GRIN1/SLC12A5/CSMD1/NRXN1/MAPK8IP2/GRIN2A/PLCB1/CNTNAP2/EPHB2/CHRNB2/BRSK1/CDK5/ABCC8/NRXN3/SLC8A3/NDRG4	17
GO:0050807	regulation of synapse organization	22/501	244/18577	8.31821451048015e-07	4.57105692623528e-05	4.03471624459881e-05	LZTS3/LRTM2/IL1RAPL2/PTPRS/LRRTM1/CDH8/PTPRT/NRXN1/SYNDIG1/CNTNAP1/GPR158/STAU2/NEFL/MYCBP2/CLSTN3/CAMK2B/ARHGAP44/ADGRL1/ADGRB1/EPHB2/CHRNB2/CDK5	22
GO:0035418	protein localization to synapse	12/501	78/18577	1.11956130733531e-06	6.05612694686694e-05	5.34553696578027e-05	NETO1/LRRTM1/NRXN1/STAU2/CACNG2/CACNG3/GRIN2A/CLSTN3/ARHGAP44/PCLO/CPLX1/CDK5	12
GO:1902414	protein localization to cell junction	14/501	108/18577	1.23404334789924e-06	6.56759563145397e-05	5.79699295147645e-05	NETO1/LRRTM1/MAPK9/NRXN1/STAU2/CACNG2/CACNG3/KIF3A/GRIN2A/CLSTN3/ARHGAP44/PCLO/CPLX1/CDK5	14
GO:0050803	regulation of synapse structure or activity	22/501	250/18577	1.25205462644703e-06	6.56759563145397e-05	5.79699295147645e-05	LZTS3/LRTM2/IL1RAPL2/PTPRS/LRRTM1/CDH8/PTPRT/NRXN1/SYNDIG1/CNTNAP1/GPR158/STAU2/NEFL/MYCBP2/CLSTN3/CAMK2B/ARHGAP44/ADGRL1/ADGRB1/EPHB2/CHRNB2/CDK5	22
GO:0010959	regulation of metal ion transport	29/501	397/18577	1.30566961977085e-06	6.74660928902488e-05	5.95500220926121e-05	CACNB3/CACNA1D/RNF207/NETO1/ADRA2A/PRKCE/GRIN1/MCHR1/CABP1/CRHR1/KCNH2/RGS7/SPHK2/PTPN3/TMEM38A/HPCA/THY1/SPTBN4/GNB5/CACNB1/CAMK2B/KCNAB3/FXYD7/FGF12/WNK2/ABCC8/KCNIP3/HECW1/KCNC2	29
GO:0099171	presynaptic modulation of chemical synaptic transmission	8/501	32/18577	1.57374934318645e-06	8.01223562663453e-05	7.07212746636263e-05	PRKCB/ADRA2A/FBXL20/RAB3A/SYT12/GSK3B/GRM2/APBA2	8
GO:0007611	learning or memory	23/501	274/18577	1.62841509969924e-06	8.17039576109967e-05	7.21173002963676e-05	NETO1/SHISA7/GRIN1/TTBK1/SLC12A5/CSMD1/LARGE1/NRXN1/MAPK8IP2/CPEB3/GRIN2A/RASGRF1/PLCB1/CNTNAP2/EPHB2/CHRNB2/BRSK1/CDK5/CRH/ABCC8/NRXN3/SLC8A3/NDRG4	23
GO:0019226	transmission of nerve impulse	11/501	69/18577	2.18402978700366e-06	0.000108015873180095	9.53419319048364e-05	KCNQ3/SCN1A/CNTNAP1/CACNG2/CACNG3/SPTBN4/KCNA2/CNTNAP2/SCN8A/FGF12/HCN1	11
GO:0030072	peptide hormone secretion	21/501	241/18577	2.55226084450615e-06	0.000124449676671553	0.000109847490461102	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/SYT7/CRHR1/RAB3A/EIPR1/VGF/BRSK2/PLCB1/KCNB1/GPLD1/PTPRN2/PCLO/SMPD3/CPLX1/CRH/ABCC8/STX1A	21
GO:0060074	synapse maturation	8/501	34/18577	2.59065240838274e-06	0.00012456720330307	0.000109951227215425	NRXN1/CNTNAP1/NEFL/SEZ6/CAMK2B/IGSF21/ADGRL1/SEZ6L2	8
GO:0099565	chemical synaptic transmission, postsynaptic	14/501	115/18577	2.6463522431571e-06	0.000125502348846711	0.000110776648332877	CELF4/NETO1/GRIN1/GLRB/NRXN1/SEZ6/MAPK8IP2/GRIN2A/INSYN1/GSK3B/CHRNB2/CDK5/SLC8A3/STX1A	14
GO:0015833	peptide transport	22/501	262/18577	2.7233473526606e-06	0.000127408493715013	0.000112459137479	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/SYT7/CRHR1/RAB3A/EIPR1/VGF/BRSK2/PLCB1/KCNB1/GPLD1/PTPRN2/ABCB9/PCLO/SMPD3/CPLX1/CRH/ABCC8/STX1A	22
GO:0070588	calcium ion transmembrane transport	26/501	350/18577	3.40561292257399e-06	0.000157203092506015	0.000138757814936594	CACNB3/CACNA1D/SCN1A/TRPM2/ADRA2A/PRKCE/GRIN1/CABP1/CRHR1/PKD1/TMEM38A/HPCA/CACNA2D2/THY1/CACNG2/CACNG3/NALF1/GRIN2A/TRPC5/GNB5/CACNB1/PLCB1/CACNA1A/SCN8A/SLC8A3/ATP2B2	26
GO:0002790	peptide secretion	21/501	246/18577	3.53407947747622e-06	0.000160986620408193	0.000142097406137306	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/SYT7/CRHR1/RAB3A/EIPR1/VGF/BRSK2/PLCB1/KCNB1/GPLD1/PTPRN2/PCLO/SMPD3/CPLX1/CRH/ABCC8/STX1A	21
GO:0042886	amide transport	26/501	353/18577	3.97751132740119e-06	0.000178833041759258	0.000157849834360159	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/SYT7/CRHR1/RAB3A/CPTP/EIPR1/VGF/BRSK2/GRM7/PLCB1/SLC1A6/KCNB1/GPLD1/PTPRN2/ABCB9/PCLO/SMPD3/GRM2/CPLX1/CRH/ABCC8/STX1A	26
GO:0097484	dendrite extension	8/501	36/18577	4.11778818097943e-06	0.000182766444648087	0.000161321715106387	SYT1/UNC13A/CPNE9/AUTS2/CYFIP2/RNF157/SYT3/BCL11A	8
GO:0099173	postsynapse organization	18/501	195/18577	5.94333658148541e-06	0.000260453560064588	0.000229893485623613	LZTS3/PTPRS/SPTBN2/SHISA7/GLRB/ARHGEF9/NRXN1/CNTNAP1/STAU2/NEFL/CAMK2B/ARHGAP44/LRRC4/EPHB2/INA/GAP43/CDK5/RAC3	18
GO:0060079	excitatory postsynaptic potential	13/501	107/18577	6.14266863586825e-06	0.000265823985217198	0.000234633776972704	CELF4/NETO1/GRIN1/GLRB/NRXN1/SEZ6/MAPK8IP2/GRIN2A/GSK3B/CHRNB2/CDK5/SLC8A3/STX1A	13
GO:1902074	response to salt	26/501	363/18577	6.57792997489101e-06	0.000277761229690075	0.000245170376049831	KCNQ3/PRKCB/TRPM2/PRKCE/SYT7/SYT5/SYT12/SYT1/LARGE1/HPCA/CACNG2/NEFL/CPNE9/CPNE4/CHRM1/PLCB1/KCNB1/PDXP/GPLD1/GRM2/CHRNB2/SYT13/PPP5C/CDK5/SYT3/BCL11A	26
GO:0007215	glutamate receptor signaling pathway	9/501	50/18577	6.57897771074124e-06	0.000277761229690075	0.000245170376049831	GRM4/GRIN1/GRIA3/GRIN2A/GRM7/PLCB1/KCNB1/GRM2/DAGLA	9
GO:0030073	insulin secretion	18/501	199/18577	7.8882168283956e-06	0.000329024176625368	0.000290418433136746	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/SYT7/RAB3A/EIPR1/VGF/BRSK2/PLCB1/KCNB1/GPLD1/PTPRN2/PCLO/CPLX1/ABCC8/STX1A	18
GO:0009306	protein secretion	26/501	368/18577	8.39170327179401e-06	0.000345858056273225	0.000305277125288446	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/ATP13A2/SYT7/RAB3A/EIPR1/RAB3C/VGF/BRSK2/MYH10/SLC4A8/PARD6A/STXBP5L/PLCB1/KCNB1/GPLD1/PTPRN2/APBB1/PCLO/CPLX1/ABCC8/FRMD4A/STX1A	26
GO:0035592	establishment of protein localization to extracellular region	26/501	369/18577	8.80506324598378e-06	0.000358625046559951	0.000316546112731776	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/ATP13A2/SYT7/RAB3A/EIPR1/RAB3C/VGF/BRSK2/MYH10/SLC4A8/PARD6A/STXBP5L/PLCB1/KCNB1/GPLD1/PTPRN2/APBB1/PCLO/CPLX1/ABCC8/FRMD4A/STX1A	26
GO:0030534	adult behavior	15/501	145/18577	9.00505098228839e-06	0.000362505656984679	0.000319971395368216	SCN1A/SPTBN2/CRHR1/GLRB/NRXN1/SEZ6/OXR1/SPTBN4/CNTNAP2/GRM2/CHRNB2/FGF12/CDK5/CEND1/NRXN3	15
GO:0033605	positive regulation of catecholamine secretion	5/501	12/18577	9.46844363618921e-06	0.000376778757109047	0.00033256977466252	SYT1/PINK1/KCNB1/CHRNB2/STX1A	5
GO:0015850	organic hydroxy compound transport	23/501	307/18577	1.08561736939554e-05	0.000427091742369017	0.00037697933293723	PRKCB/ADRA2A/SYT7/SYT5/CRHR1/SYT12/SYT1/PINK1/OSBPL10/ABCG4/ZDHHC8/OSBPL3/KCNB1/KCNA2/OSBP2/GRAMD1B/GRM2/CHRNB2/SYT13/OSBPL6/CRH/SYT3/STX1A	23
GO:0071692	protein localization to extracellular region	26/501	377/18577	1.28421494127908e-05	0.0004995451827762	0.00044093151679872	PRKCB/ADRA2A/PFKM/NNAT/PRKCE/ATP13A2/SYT7/RAB3A/EIPR1/RAB3C/VGF/BRSK2/MYH10/SLC4A8/PARD6A/STXBP5L/PLCB1/KCNB1/GPLD1/PTPRN2/APBB1/PCLO/CPLX1/ABCC8/FRMD4A/STX1A	26
GO:0050773	regulation of dendrite development	12/501	99/18577	1.4277782620842e-05	0.000549218704815056	0.000484776642670226	KNDC1/STAU2/SEZ6/TRPC5/GSK3B/CAMK2B/DCC/EPHB2/CHRNB2/MARK1/HECW1/BCL11A	12
GO:0035725	sodium ion transmembrane transport	16/501	179/18577	2.89289927231043e-05	0.0011005733275537	0.000971438587335704	SCN1A/TRPM2/NETO1/PRKCE/ATP1A3/PTPN3/SLC4A8/SHROOM2/FXYD7/SCN8A/FGF12/WNK2/SLC6A7/HECW1/SLC8A3/HCN1	16
GO:0048638	regulation of developmental growth	23/501	327/18577	2.96895813411449e-05	0.00111723185438091	0.000986142501525672	PTPRS/L1CAM/RAI1/SYT1/SEMA6C/UNC13A/CPNE9/BASP1/MYCBP2/SPTBN4/TRPC5/GSK3B/ATP8A2/LIMK1/PLCB1/DCC/RTN4R/OLFM1/CDK5/RNF157/TRIM46/SYT3/BCL11A	23
GO:0050954	sensory perception of mechanical stimulus	16/501	181/18577	3.31546603844546e-05	0.00122377262181679	0.00108018240783671	KCNQ3/CACNA1D/SCN1A/CRYM/SOBP/RAB3A/LARGE1/PDZD7/CDKN2D/SRRM4/ANKRD24/SPTBN4/GRM7/CHRNB2/PHF24/ATP2B2	16
GO:0051592	response to calcium ion	14/501	143/18577	3.32277950464409e-05	0.00122377262181679	0.00108018240783671	KCNQ3/TRPM2/SYT7/SYT5/SYT12/SYT1/HPCA/CACNG2/CPNE9/CPNE4/KCNB1/GPLD1/SYT13/SYT3	14
