"Gene","R","P","FDR"
"ENSG00000168280.18",-0.318497328995686,2.44122913548606e-05,0.0012112215572022
"ENSG00000168301.13",-0.319545355032019,2.28728142893552e-05,0.00115229263944939
"ENSG00000169213.7",-0.38339617673529,2.67313481918424e-07,7.00058183626157e-05
"ENSG00000170456.16",-0.316575434939141,2.74923887605031e-05,0.00131523380731273
"ENSG00000170899.11",-0.354252675129757,2.2982654882765e-06,0.00026180644932147
"ENSG00000170946.15",-0.318279548454875,2.47442221422449e-05,0.00121581716649796
"ENSG00000170962.13",-0.377980783156131,4.0516174267108e-07,9.18691063582702e-05
"ENSG00000170967.5",-0.326571641974409,1.46868416881638e-05,0.000861639351973267
"ENSG00000171159.5",-0.338750804446161,6.63741357578016e-06,0.00051720925480228
"ENSG00000171246.7",-0.337233591864975,7.34125814773753e-06,0.000555029704544573
"ENSG00000171302.17",-0.317226033369601,2.64108897033695e-05,0.00127308506856678
"ENSG00000171476.22",-0.305428614593291,5.39033838633801e-05,0.00210877102137139
"ENSG00000171617.15",-0.343503385135073,4.82380370544018e-06,0.000412810752487603
"ENSG00000172531.16",-0.301747751407463,6.69299650953586e-05,0.00245250202012957
"ENSG00000172575.13",-0.333372677845079,9.46504814033801e-06,0.000632738468181596
"ENSG00000172667.11",-0.325933836991883,1.52964261262667e-05,0.000879129214673196
"ENSG00000172731.15",-0.300458267075223,7.2153298773538e-05,0.00257697169747638
"ENSG00000173020.11",-0.310691141339521,3.93574201778674e-05,0.00169744744444544
"ENSG00000173272.16",-0.333273262161215,9.5267501177965e-06,0.000633528882833467
"ENSG00000173320.12",-0.30906732957349,4.33959657791925e-05,0.00180708048106335
"ENSG00000174013.8",-0.312218392460223,3.58839484058487e-05,0.00159642721778244
"ENSG00000174151.15",-0.399601572394881,7.35802736150154e-08,3.07596515801676e-05
"ENSG00000174282.12",-0.324466097343611,1.67912527819359e-05,0.000941607493199817
"ENSG00000174306.22",-0.345914714022827,4.09438997871181e-06,0.00037312355520777
"ENSG00000174514.13",-0.35396591675826,2.34500914811303e-06,0.000264294061411279
"ENSG00000174871.11",-0.309513855118926,4.22482160572177e-05,0.0017739362520686
"ENSG00000174946.7",-0.312796053742773,3.4646999558083e-05,0.00155501365684449
"ENSG00000174996.12",-0.320528055230314,2.1512865358536e-05,0.00110179701351389
"ENSG00000175662.18",-0.331218731795861,1.08904201451685e-05,0.000702155692760702
"ENSG00000176788.9",-0.331394047250321,1.0767209426771e-05,0.000695978170657159
"ENSG00000176871.9",-0.35948154082967,1.58652341851909e-06,0.000212118181056002
"ENSG00000176903.5",-0.355024989752895,2.17674148130547e-06,0.000252492072372615
"ENSG00000177133.13",-0.305996551971035,5.21194313027016e-05,0.00205908229141917
"ENSG00000177283.8",-0.508317544224401,1.72396243976108e-12,6.25625969389297e-09
"ENSG00000177301.16",-0.300246381979525,7.30472968835603e-05,0.00259354961073365
"ENSG00000177807.10",-0.34887598619443,3.34148138153505e-06,0.000334187604469035
"ENSG00000179104.9",-0.368787268631935,8.0695865101791e-07,0.000136661137412053
"ENSG00000179115.11",-0.310092316641166,4.08037411146076e-05,0.00172756239255729
"ENSG00000179152.20",-0.314788320252144,3.06818557645029e-05,0.00142178250497407
"ENSG00000179314.16",-0.395417457641097,1.03348052990534e-07,3.89774667112651e-05
"ENSG00000180340.7",-0.301557398598907,6.7678057515601e-05,0.00245410635118439
"ENSG00000180616.9",-0.30790491456519,4.65228232780205e-05,0.00189171616143043
"ENSG00000181751.10",-0.415790548869558,1.88979862353198e-08,1.20016386083957e-05
"ENSG00000182568.17",-0.317364680998821,2.61856561176897e-05,0.00126945462281999
"ENSG00000182606.17",-0.304618302532641,5.65481222343326e-05,0.00216665452355769
"ENSG00000183580.10",-0.323891550030579,1.74131444880379e-05,0.000963627424013528
"ENSG00000184156.17",-0.318523013030823,2.4373422867892e-05,0.0012112215572022
"ENSG00000185008.18",-0.422369446215027,1.06521065526729e-08,7.73129893592998e-06
"ENSG00000185651.16",-0.302848783128218,6.27528050740318e-05,0.0023538757371555
"ENSG00000186073.14",-0.325137960220624,1.60906358933844e-05,0.000908334274665877
"ENSG00000186297.12",-0.409748366738774,3.1653350616225e-08,1.71082992702971e-05
"ENSG00000187051.9",-0.300094774717147,7.36933275107566e-05,0.00261092273187692
"ENSG00000188486.4",-0.302606334765613,6.36510582185129e-05,0.00237434336552846
"ENSG00000188760.11",-0.325530675213764,1.5693997006978e-05,0.00089203656370875
"ENSG00000189238.6",-0.43194948058431,4.52070584298962e-09,4.34413176282355e-06
"ENSG00000189241.8",-0.301681187338222,6.71906778093621e-05,0.00245250202012957
"ENSG00000189319.14",-0.383420881369847,2.66802231698124e-07,7.00058183626157e-05
"ENSG00000196465.11",-0.355034546400669,2.17527675813435e-06,0.000252492072372615
"ENSG00000196663.16",-0.327665596601452,1.36944056497176e-05,0.000827632002517144
"ENSG00000196715.7",-0.36057129220435,1.46737309830139e-06,0.000199335180835028
"ENSG00000196781.16",-0.315022949998233,3.02440864379587e-05,0.00140970739042838
"ENSG00000197106.7",-0.305032856387648,5.51802257057847e-05,0.00213680377073788
"ENSG00000198586.14",-0.333133695827632,9.61401421222437e-06,0.000637662671104793
"ENSG00000198648.11",-0.454202269763297,5.55416815726951e-10,8.81828335619484e-07
"ENSG00000198663.17",-0.351806574246932,2.72719990811294e-06,0.000297335018308125
"ENSG00000198700.10",-0.320928721513812,2.09805842356597e-05,0.00108234191963641
"ENSG00000198890.9",-0.315299386556735,2.97358629545768e-05,0.00139369027054449
"ENSG00000204371.11",-0.345657199978697,4.16697747598814e-06,0.000374041444602568
"ENSG00000204590.13",-0.320120397210289,2.20674916453819e-05,0.00112340779612753
"ENSG00000206052.11",-0.321427619343935,2.03351639763187e-05,0.00106290981582392
